pixel_index,color_value
1791,-15856625
1792,-15988213
1793,-15987700
1794,-15987700
1795,-16119286
1796,-15987700
1797,-15987700
1798,-16119286
1799,-16053493
1800,-9676488
1801,-8954314
1802,-9348550
1803,-12966112
1804,-11189197
1805,-9018565
1806,-10467282
1807,-10531796
1808,-11977427
1809,-12767970
1810,-16053752
1811,-15528180
1812,-16185081
1813,-15987959
1814,-10726587
1815,-11517904
1816,-9281460
1817,-8295586
1818,-9151665
1819,-10926537
1820,-11057865
1821,-13623782
1822,-10859977
1823,-8489629
1824,-7700882
1825,-9807043
1826,-5133930
1827,-5002597
1828,-5201259
1829,-4938085
1830,-4543329
1831,-10987430
1832,-15395822
1833,-15659248
1834,-15527662
1835,-15593455
1836,-15725041
1837,-15725041
1838,-15593201
1839,-15593455
1840,-15724787
1841,-15987700
1842,-15790069
1843,-15856627
1844,-15988213
1845,-15856627
1846,-15921907
1847,-15856627
1848,-15988213
1849,-15658735
1850,-5393217
1851,-15856114
1852,-15987700
1853,-5591895
1854,-15856373
1855,-15658996
1856,-15593455
1857,-15396076
1858,-15461615
1859,-15593201
1860,-12236732
1861,-3360084
1862,-4214881
1863,-8820901
1864,-15067629
1865,-16053493
1866,-16053493
1867,-15856373
